review_group;result_id;result_name;assumption_id;short_assumption;current_detail;review_status;proposed_revision;how_to_check;what_to_report;review_notes
Latent / exploratory structure;principalComponentAnalysis;Principal component analysis (PCA);principalComponentAnalysis.standardise_variables_on_different_scales;Standardise variables on different scales;Put predictors on comparable scales before distance-based or component-based methods when units differ. Otherwise variables with larger numeric ranges can dominate the result.;OK;;;;
Latent / exploratory structure;principalComponentAnalysis;Principal component analysis (PCA);principalComponentAnalysis.common_variance;Common variance among variables;The Kaiser-Meyer-Olkin (KMO) measure evaluates if your data is suited for Factor Analysis. It computes the proportion of common variance among variables. Scores range from 0 to 1: values above 0.80 are meritorious, while scores below 0.50 mean the data is unacceptable for dimension reduction.;OK;;;;
Latent / exploratory structure;principalComponentAnalysis;Principal component analysis (PCA);principalComponentAnalysis.choose_components_by_explained_variance_and_interpretabili;Choose components by explained variance and interpretability;Each study should provide a comparable effect estimate and a valid measure of uncertainty. Check coding direction, scale, transformation, and whether all studies use the same effect-size metric.;OK;;;;
Meta-analysis;metaProportionAnalysis;Proportion meta-analysis;metaProportionAnalysis.event_frequency_count_available_for_each_study;Event frequency/count available for each study;"For Proportion meta-analysis, this condition should be checked against the research design and variable coding.
Formally, with only two studies is already possible to perform the analysis, but consider the total amount of studies on the field and their relevance for the research question.";OK;;;;
Meta-analysis;metaProportionAnalysis;Proportion meta-analysis;metaProportionAnalysis.total_sample_size_available_for_each_study;Total sample size available for each study;"There should be enough information for the model or test to estimate effects reliably. Consider the number of groups, and parameters rather than only the total N.
";OK;;;;
Meta-analysis;metaProportionAnalysis;Proportion meta-analysis;metaProportionAnalysis.moderator_and_study_label_can_be_added;"Moderator and Study Label can be added.
";"For Proportion meta-analysis, this condition should be checked against the research design, variable coding, descriptive statistics, before relying on the result.
Justify in advance the moderators included in the analysis. The should be theoretically justified.";OK;;;;
Meta-analysis;metaProportionAnalysis;Proportion meta-analysis;metaProportionAnalysis.select_fixed_random_effects_moderator_analyses_and_publica;"Select fixed/random effects, moderator analyses, and publication-bias checks in the model options.
";"Select fixed effect  if the data contain grouping structures such as repeated measures within participants or athletes within teams. Select random-effect if heterogenity in the studies is expected.
Always report heterogenity indices and several publications bias methods, as they rely on different assumptions.";OK;;;;
Machine learning / exploratory grouping;randomForestClassifier;Random forest classifier;randomForestClassifier.categorical_outcome_variable;Categorical outcome variable;Categories should be mutually exclusive and coded consistently. Check that each case belongs to the intended category, that reference categories are meaningful when models require them, and that sparse categories are not driving unstable estimates.;OK;;;;
Machine learning / exploratory grouping;randomForestClassifier;Random forest classifier;randomForestClassifier.adequate_sample_size;Adequate sample size;"There should be enough information for the model or test to estimate effects reliably. Consider the number of predictors, parameters, events, clusters rather than only the total N.
When in doubt, select the appropriate sample size (and other model parameters) using cross-validation.";OK;;;;
Machine learning / exploratory grouping;randomForestClassifier;Random forest classifier;randomForestClassifier.validation_on_unseen_data;Validation on unseen data;Evaluate predictive models on data not used to fit them. Use train/test splits, cross-validation, or external validation and report metrics that match the outcome and class balance.;OK;;;;
Machine learning / exploratory grouping;randomForestClassifier;Random forest classifier;randomForestClassifier.handle_class_imbalance;Handle class imbalance;Check whether outcome classes are rare or unevenly distributed. Accuracy alone can be misleading;OK;;;;
Regression / prediction models;randomForestRegression;Random forest regression;randomForestRegression.metric_outcome_variable;Metric outcome variable;The variable should be quantitative enough that means, variances, distances, or linear model coefficients are meaningful. Check the scale, units, plausible range, and whether strong floor or ceiling effects make a metric interpretation questionable.;OK;;;;
Regression / prediction models;randomForestRegression;Random forest regression;randomForestRegression.enough_cases_for_training_and_validation;Enough cases for training and validation;Evaluate predictive models on data not used to fit them. Use train/test splits, cross-validation, or external validation and report metrics that match the outcome and class balance.;OK;;;;
Regression / prediction models;randomForestRegression;Random forest regression;randomForestRegression.tune_number_of_trees_and_variables_per_split;Tune number of trees and variables per split;For Random forest regression, limits how many random features each tree can evaluate at any given node. Limiting the options forces the individual trees to be different from one another, which lowers the overall variance of your mode;OK;;;;
Regression / prediction models;randomForestRegression;Random forest regression;randomForestRegression.interpret_with_variable_importance_or_partial_effects;Interpret with variable importance or partial effects;For Random forest regression, Permutation Featurewe can use  Importance / Mean Decrease in Accuracy to estimate how much each input variable contributes to the model's overall predictive performance.;OK;;;;
Meta-analysis;randomEffectsMetaAnalysis;Random-effects meta-analysis;randomEffectsMetaAnalysis.several_independent_studies_or_effect_sizes;Several independent studies or effect sizes;One observation should not determine or duplicate another unless the method explicitly models that dependence (Multivariate meta-analysis). Several outcomes from the same sample size can violate this assumption.;OK;;;;
Meta-analysis;randomEffectsMetaAnalysis;Random-effects meta-analysis;randomEffectsMetaAnalysis.effect_size_and_precision_measure_available;Effect size and precision measure available;Each study should provide a comparable effect estimate and a valid measure of uncertainty. Check coding direction, scale, transformation, and whether all studies use the same effect-size metric.;OK;;;;
Meta-analysis;randomEffectsMetaAnalysis;Random-effects meta-analysis;randomEffectsMetaAnalysis.between_study_variance_is_estimated;Between-study variance is estimated;Each study should provide a comparable effect estimate and a valid measure of uncertainty. ;OK;;;;
Meta-analysis;randomEffectsMetaAnalysis;Random-effects meta-analysis;randomEffectsMetaAnalysis.heterogeneity_is_reported_with_tau2_i2;Heterogeneity is reported with tau2/I2;"Effects may differ across studies or subgroups. Report heterogeneity statistics and interpret them together with study design.
Heterogenity can be assessed with Cochran’s Q to test whether the true effect size differs between the studies, Thompson’s I2 to assess the proportion of total variability due to between-study heterogeneity, and tau-squared (τ2) as estimate of the variance of the underlying distribution of true effect sizes";OK;;;;
ANOVA / covariance models;repeatedAnova;Repeated-measures ANOVA;repeatedAnova.repeated_measurements;Repeated measurements;Measurements must be correctly linked within the same person, object, team, study, or matched pair. The analysis uses these links, so missing or incorrectly matched rows can change both the estimate and the standard error.;OK;;;;
ANOVA / covariance models;repeatedAnova;Repeated-measures ANOVA;repeatedAnova.metric_outcome_variable;Metric outcome variable;The variable should be quantitative enough that means, variances, distances, or linear model coefficients are meaningful. Check the scale, units, plausible range, and whether strong floor or ceiling effects make a metric interpretation questionable.;OK;;;;
ANOVA / covariance models;repeatedAnova;Repeated-measures ANOVA;repeatedAnova.sphericity_or_suitable_correction;Sphericity or suitable correction;For repeated-measures factors with more than two levels, the variances of the pairwise differences should be similar. If this is doubtful, report a correction such as Greenhouse-Geisser or use a mixed-model approach.;OK;;;;
Association / frequency tests;spearman;Spearman rank correlation;spearman.at_least_ordinal_scale_level;At least ordinal scale level;The values must at least have a meaningful order. The exact distance between adjacent response categories does not need to be equal.;OK;;;;
Association / frequency tests;spearman;Spearman rank correlation;spearman.monotonic_relationship;Monotonic relationship;As one variable increases, the other should tend to move consistently upward or downward, even if the relation is not linear. A scatterplot or rank plot is usually the clearest check.;OK;;;;
Association / frequency tests;spearman;Spearman rank correlation;spearman.independent_observations;Independent observations;One observation should not determine or duplicate another. Repeated measurements, matched pairs, team membership, classrooms, clinics, studies from the same lab, or multiple rows per person can violate this assumption.;OK;;;;
Latent / exploratory structure;structuralEquationModeling;Structural equation modeling (SEM);structuralEquationModeling.latent_constructs_measured_by_multiple_indicators;Latent constructs measured by multiple indicators;"For Structural equation modeling (SEM), this condition should be checked against the research design and variable coding, before relying on the result.
For example, concepts that cannot be directly measured (e.g., depression, fatigue) are captured accurately by combining several imperfect indicators.";OK;;;;
Latent / exploratory structure;structuralEquationModeling;Structural equation modeling (SEM);structuralEquationModeling.theoretically_justified_measurement_and_structural_model;Theoretically justified measurement and structural model;The model structure or hypothesis should be motivated before looking at the result. Document why paths, factors, covariates, subgroups, or expected proportions were chosen.;OK;;;;
Latent / exploratory structure;structuralEquationModeling;Structural equation modeling (SEM);structuralEquationModeling.adequate_sample_size;Adequate sample size;"There should be enough information for the model or test to estimate effects reliably. Consider the number of groups, predictors, parameters, events, clusters, and studies rather than only the total N.
Common guidelines suggest 5 to 20 observations per estimated parameter, or 10 cases per indicator variable, althought it depends on the model complexity.";OK;;;;
Latent / exploratory structure;structuralEquationModeling;Structural equation modeling (SEM);structuralEquationModeling.model_fit_and_alternative_models_should_be_evaluated;Model fit and alternative models should be evaluated;Evaluate global fit, local residuals, parameter estimates, and theoretically plausible alternatives. A statistically acceptable fit does not by itself make the model substantively correct.;OK;;;;
Mean / median / variance tests;wilcoxon;Wilcoxon signed-rank test;wilcoxon.two_paired_measurements;Two paired measurements;Measurements must be correctly linked within the same person, object, team, study, or matched pair. The analysis uses these links, so missing or incorrectly matched rows can change both the estimate and the standard error.;OK;;;;
Mean / median / variance tests;wilcoxon;Wilcoxon signed-rank test;wilcoxon.at_least_ordinal_values;At least ordinal values;The values must at least have a meaningful order. The exact distance between adjacent response categories does not need to be equal, which is why rank-based or ordinal models can be more appropriate than mean-based tests.;OK;;;;
